"id";"city";"state";"lon";"lat";"active"
1;"Boston";"MA";-71.0582912;42.3602534;"1"
2;"Worcester";"MA";-71.8022934;42.2625932;"1"
3;"Springfield";"MA";-72.589811;42.1014831;"1"
4;"Lowell";"MA";-71.3161718;42.6334247;"1"
5;"Cambridge";"MA";-71.1056157;42.3750997;"1"
6;"Brockton";"MA";-71.0183787;42.0834335;"1"
7;"New Bedford";"MA";-70.934205;41.6362152;"1"
8;"Quincy";"MA";-71.0022705;42.2528772;"1"
9;"Lynn";"MA";-70.9494939;42.466763;"1"
10;"Newton";"MA";-71.2092214;42.3370414;"1"
11;"Montgomery";"AL";-86.3006485;32.3669656;"1"
12;"Mobile";"AL";-88.0430541;30.6943566;"1"
13;"Tuscaloosa";"AL";-87.4862182;33.2668398;"1"
14;"Auburn";"AL";-85.5036434630996;32.6550905;"1"
15;"Huntsville";"AL";-86.5859011;34.729847;"1"
16;"Hoover";"AL";-86.789857697963;33.4060825;"1"
17;"Anchorage";"AK";-149.8948523;61.2163129;"1"
18;"Fairbanks";"AK";-147.716675;64.837845;"1"
19;"Juneau";"AK";-134.419734;58.3019496;"1"
20;"Phoenix";"AZ";-112.0773456;33.4485866;"1"
21;"Tucson";"AZ";-110.9262353;32.2218917;"1"
22;"Mesa";"AZ";-111.8312641;33.4153143;"1"
23;"Scottsdale";"AZ";-111.8992365;33.5091215;"1"
24;"Chandler";"AZ";-111.8408489;33.3067132;"1"
25;"Glendale";"AZ";-112.404683063895;33.558997;"1"
26;"Gilbert";"AZ";-111.7890239;33.3528259;"1"
27;"Tempe";"AZ";-111.9094474;33.4144139;"1"
28;"Peoria";"AZ";-112.2398262;33.5766205;"1"
29;"Surprise";"AZ";-112.3680189;33.6292271;"1"
30;"Yuma";"AZ";-114.624397;32.7253249;"1"
31;"Little Rock";"AR";-92.2895948;34.7464809;"1"
32;"Fort Smith";"AR";-94.4248983;35.3872218;"1"
33;"Fayetteville";"AR";-94.1574328;36.0625843;"1"
34;"Springdale";"AR";-94.1288142;36.1867442;"1"
35;"Jonesboro";"AR";-90.7034522;35.8428646;"1"
36;"Los Angeles";"CA";-118.2427669;34.0536834;"1"
37;"San Diego";"CA";-117.1627714;32.7174209;"1"
38;"San Jose";"CA";-121.8905833;37.3361905;"1"
39;"San Francisco";"CA";-122.4192363;37.7792808;"1"
40;"Fresno";"CA";-119.708861260756;36.7295295;"1"
41;"Sacramento";"CA";-121.4943996;38.5815719;"1"
42;"Long Beach";"CA";-118.158049315311;33.78538945;"1"
43;"Oakland";"CA";-122.2713563;37.8044557;"1"
44;"Bakersfield";"CA";-119.0194639;35.3738712;"1"
45;"Anaheim";"CA";-117.911732;33.8347516;"1"
46;"Riverside";"CA";-117.3961623;33.9533546;"1"
47;"Santa Ana";"CA";-117.8732213;33.7494951;"1"
48;"Stockton";"CA";-121.2907796;37.9577016;"1"
49;"Irvine";"CA";-117.8259819;33.6856969;"1"
50;"Chula Vista";"CA";-117.0841955;32.6400541;"1"
51;"Fremont";"CA";-121.9885719;37.5482697;"1"
52;"Modesto";"CA";-120.9968782;37.6390972;"1"
53;"San Bernardino";"CA";-117.2897652;34.1083449;"1"
54;"Fontana";"CA";-117.435048;34.0922335;"1"
55;"Oxnard";"CA";-119.1803818;34.1976308;"1"
56;"Moreno Valley";"CA";-117.2305944;33.937517;"1"
57;"Glendale";"CA";-118.246248614754;34.192912;"1"
58;"Huntington Beach";"CA";-118.0000166;33.6783336;"1"
59;"Denver";"CO";-104.9848623;39.7392364;"1"
60;"Colorado Springs";"CO";-104.8253485;38.8339578;"1"
61;"Aurora";"CO";-104.8319196;39.729432;"1"
62;"Fort Collins";"CO";-105.0668085;40.5508527;"1"
63;"Lakewood";"CO";-105.11005818223;39.6311085;"1"
64;"Thornton";"CO";-104.9851819;39.8695516;"1"
65;"Arvada";"CO";-105.220742990446;39.8211225;"1"
66;"Westminster";"CO";-105.0372046;39.8366528;"1"
67;"Pueblo";"CO";-104.609141;38.2544472;"1"
68;"Greeley";"CO";-104.7091322;40.4233142;"1"
69;"Centennial";"CO";-104.97783081285;39.5680644;"1"
70;"Boulder";"CO";-105.2705456;40.0149856;"1"
71;"Bridgeport";"CT";-73.2048348;41.1670412;"1"
72;"Stamford";"CT";-73.5387341;41.0534302;"1"
73;"New Haven";"CT";-72.9250518;41.3082138;"1"
74;"Hartford";"CT";-72.6908547;41.764582;"1"
75;"Waterbury";"CT";-73.0438362;41.5538091;"1"
76;"Norwalk";"CT";-73.4078968;41.1175966;"1"
77;"Danbury";"CT";-73.4540111;41.394817;"1"
78;"New Britain";"CT";-72.7881465300835;41.68174355;"1"
79;"Wilmington";"DE";-75.546589;39.7459468;"1"
80;"Dover";"DE";-75.5243682;39.158168;"1"
81;"Newark";"DE";-75.7508289;39.6852191;"1"
82;"Jacksonville";"FL";-81.655651;30.3321838;"1"
83;"Miami";"FL";-80.1936589;25.7742658;"1"
84;"Tampa";"FL";-82.458444;27.9477595;"1"
85;"Orlando";"FL";-81.3790388;28.5421097;"1"
86;"St. Petersburg";"FL";-82.6695085;27.7703796;"1"
87;"Hialeah";"FL";-80.2781057;25.8575963;"1"
88;"Port St. Lucie";"FL";-80.3503283;27.2939333;"1"
89;"Cape Cora";"FL";0.0;0.0;"0"
90;"Tallahassee";"FL";-84.2809332;30.4380832;"1"
91;"Fort Lauderdale";"FL";-80.1433786;26.1223084;"1"
92;"Atlanta";"GA";-84.3901849;33.7490987;"1"
93;"Augusta";"GA";-81.9748429;33.4709714;"1"
94;"Columbus";"GA";-84.9877094;32.4609764;"1"
95;"Macon";"GA";-83.6324022;32.8406946;"1"
96;"Savannah";"GA";-81.0911768;32.0809263;"1"
97;"Athens";"GA";-83.376398;33.9597677;"1"
98;"Sandy Springs";"GA";-84.3785379;33.9242688;"1"
99;"Roswell";"GA";-84.360022;34.02332;"1"
100;"Johns Creek";"GA";-84.190196;34.0181557;"1"
101;"Warner Robins";"GA";-83.5999048;32.6209775;"1"
102;"Honolulu";"HI";-157.8556764;21.304547;"1"
103;"East Honolulu";"HI";-157.8556764;21.304547;"1"
104;"Pearl City";"HI";-157.969428;21.4001231;"1"
105;"Hilo";"HI";-155.081635;19.707243;"1"
106;"Kailua";"HI";-157.729891346619;21.394833;"1"
107;"Waipahu";"HI";-158.0091667;21.3866667;"1"
108;"Kaneohe";"HI";-157.796071607204;21.4055;"1"
109;"Boise";"ID";-116.200835;43.61656;"1"
110;"Meridian";"ID";-116.392326;43.6086295;"1"
111;"Nampa";"ID";-116.5596313;43.5737361;"1"
112;"Idaho Falls";"ID";-112.0400919;43.4935245;"1"
113;"Caldwell";"ID";-116.6894156;43.6678736;"1"
114;"Pocatello";"ID";-112.4401098;42.8688613;"1"
115;"Coeur d'Alene";"ID";-116.7811531;47.6742994;"1"
116;"Twin Falls";"ID";-114.4603171;42.5704219;"1"
117;"Chicago";"IL";-87.6244212;41.8755616;"1"
118;"Aurora";"IL";-88.3147539;41.7571701;"1"
119;"Joliet";"IL";-88.0840212;41.5263603;"1"
120;"Naperville";"IL";-88.1479278;41.7728699;"1"
121;"Rockford";"IL";-89.093966;42.2713945;"1"
122;"Springfield";"IL";-89.6439575;39.7990175;"1"
123;"Elgin";"IL";-88.2810994;42.03726;"1"
124;"Peoria";"IL";-89.5891008;40.6938609;"1"
125;"Champaign";"IL";-88.2433829;40.1164205;"1"
126;"Waukegan";"IL";-87.8447938;42.3636331;"1"
127;"Cicero";"IL";-87.7539448;41.8455878;"1"
128;"Bloomington";"IL";-88.9941403;40.4731073;"1"
129;"Indianapolis";"IN";-86.1583502;39.7683331;"1"
130;"Fort Wayne";"IN";-85.1386015;41.0799898;"1"
131;"Evansville";"IN";-87.5558483;37.9747645;"1"
132;"South Bend";"IN";-86.2500066;41.6833813;"1"
133;"Carmel";"IN";-86.118731;39.9788383;"1"
134;"Fishers";"IN";-86.0138729;39.9555928;"1"
135;"Bloomington";"IN";-86.5342881;39.1670396;"1"
136;"Hammond";"IN";-87.500043;41.5833658;"1"
137;"Gary";"IN";-87.3371372;41.6021292;"1"
138;"Lafayette";"IN";-86.8752869;40.4167022;"1"
139;"Muncie";"IN";-85.3865114;40.1936683;"1"
140;"Noblesville";"IN";-86.0085955;40.0455918;"1"
141;"Terre Haute";"IN";-87.4139119;39.4667025;"1"
142;"Des Moines";"IA";-93.6037149;41.5910641;"1"
143;"Cedar Rapids";"IA";-91.6704053;41.9758872;"1"
144;"Davenport";"IA";-90.5776368;41.5236436;"1"
145;"Sioux City";"IA";-96.4058782;42.4966815;"1"
146;"Iowa City";"IA";-91.5299106;41.6612561;"1"
147;"Ames";"IA";-93.6170554;42.0267703;"1"
148;"West Des Moines";"IA";-93.7595281;41.5645337;"1"
149;"Waterloo";"IA";-92.3329637;42.4979693;"1"
150;"Ankeny";"IA";-93.6003837;41.7318715;"1"
151;"Council Bluffs";"IA";-95.8613912;41.2621283;"1"
152;"Dubuque";"IA";-90.6647967;42.5006217;"1"
153;"Wichita";"KS";-97.3375448;37.6922361;"1"
154;"Overland Park";"KS";-94.6851702;38.9742502;"1"
